row_index,Ecm,Nproj,det_grid_real,det_grid_imag,local_det_real,local_det_imag,sign_grid,sign_local,in_original_bracket,in_hot_window,dimension_jump_flag
1127,0.26856058802940147,5,1.8964270076801702e-19,-0,1.8806235587276218e-19,-0,1,1,false,false,false
1128,0.2685654332716636,5,1.8848617190804658e-19,-0,1.8691394380266475e-19,-0,1,1,false,false,false
1129,0.26857027851392568,5,1.8732891223660246e-19,-0,1.8576480846279807e-19,-0,1,1,false,false,false
1130,0.26857512375618781,5,1.8617092401306324e-19,-0,1.8461495209173024e-19,-0,1,1,false,false,false
1131,0.26857996899844994,5,1.8501220948867596e-19,-0,1.8346437691994116e-19,-0,1,1,false,false,false
1132,0.26858481424071201,5,1.8385277090652122e-19,-0,1.8231308516979032e-19,-0,1,1,false,false,false
1133,0.26858965948297414,5,1.8269261050150451e-19,-0,1.8116107905550564e-19,-0,1,1,false,false,false
1134,0.26859450472523627,5,1.8153173050044456e-19,-0,1.8000836078327329e-19,-0,1,1,false,false,false
1135,0.2685993499674984,5,1.8037013312205737e-19,-0,1.7885493255122131e-19,-0,1,1,false,false,false
1136,0.26860419520976048,5,1.7920782057698435e-19,-0,1.7770079654944694e-19,-0,1,1,false,false,false
1137,0.26860904045202261,5,1.7804479506776692e-19,-0,1.7654595495999214e-19,-0,1,1,false,false,false
1138,0.26861388569428474,5,1.7688105878895388e-19,-0,1.7539040995695033e-19,-0,1,1,false,false,false
1139,0.26861873093654681,5,1.7571661392707646e-19,-0,1.7423416370644163e-19,-0,1,1,false,false,false
1140,0.26862357617880894,5,1.7455146266061507e-19,-0,1.7307721836657936e-19,-0,1,1,false,false,false
1141,0.26862842142107107,5,1.7338560716012611e-19,-0,1.7191957608759639e-19,-0,1,1,false,false,false
1142,0.26863326666333315,5,1.7221904958819154e-19,-0,1.7076123901179562e-19,-0,1,1,false,false,false
1143,0.26863811190559528,5,1.7105179209943297e-19,-0,1.6960220927356335e-19,-0,1,1,false,false,false
1144,0.26864295714785741,5,1.6988383684057261e-19,-0,1.6844248899943004e-19,-0,1,1,false,false,false
1145,0.26864780239011948,5,1.6871518595045129e-19,-0,1.6728208030808861e-19,-0,1,1,false,false,false
1146,0.26865264763238161,5,1.6754584155997699e-19,-0,1.6612098531034286e-19,-0,1,1,false,false,false
1147,0.26865749287464374,5,1.6637580579225188e-19,-0,1.6495920610923384e-19,-0,1,1,false,false,false
1148,0.26866233811690582,5,1.6520508076252193e-19,-0,1.6379674479999061e-19,-0,1,1,false,false,false
1149,0.26866718335916795,5,1.6403366857818641e-19,-0,1.6263360347003843e-19,-0,1,1,false,false,false
1150,0.26867202860143008,5,1.6286157133888063e-19,-0,1.6146978419908183e-19,-0,1,1,false,false,false
1151,0.26867687384369221,5,1.6168879113644351e-19,-0,1.6030528905907277e-19,-0,1,1,false,false,false
1152,0.26868171908595428,5,1.6051533005496849e-19,-0,1.591401201142602e-19,-0,1,1,false,false,false
1153,0.26868656432821642,5,1.5934119017076437e-19,-0,1.5797427942115225e-19,-0,1,1,false,false,false
1154,0.26869140957047855,5,1.5816637355246063e-19,-0,1.5680776902862008e-19,-0,1,1,false,false,false
1155,0.26869625481274062,5,1.5699088226098858e-19,-0,1.5564059097788029e-19,-0,1,1,false,false,false
