bracket_id,segment_id,row_left,row_right,E_left,E_right,gap,det_left,det_right,E_zero_linear,sign_left,sign_right,Nfull,Nproj
12,Nfull61_Nproj19,11643,11644,3.19513155657782877e-01,3.19518000900045007e-01,4.8452422621303448e-06,-1.91053643520280500e-43,4.11968920808544412e-44,0.31951714144487925,-1,1,61,19
13,Nfull64_Nproj20,11996,11997,3.21223526176308782e-01,3.21228371418570913e-01,4.8452422621303448e-06,2.43791194172148557e-45,-3.50021605646984053e-45,0.32122551540152838,1,-1,64,20
14,Nfull76_Nproj23,12386,12387,3.23113170658532900e-01,3.23118015900795030e-01,4.8452422621303448e-06,-7.16884701696692491e-36,4.17616927162025895e-36,0.3231162323377455,-1,1,76,23
15,Nfull76_Nproj23,12928,12929,3.25739291964598221e-01,3.25744137206860351e-01,4.8452422621303448e-06,1.04819902804140669e-50,-4.17969767195808567e-51,0.32574275594381147,1,-1,76,23
16,Nfull76_Nproj23,13005,13006,3.26112375618780925e-01,3.26117220861043056e-01,4.8452422621303448e-06,-1.48827005763255252e-52,2.24260313277474907e-52,0.32611430841805139,-1,1,76,23
17,Nfull76_Nproj23,13518,13519,3.28597984899244966e-01,3.28602830141507041e-01,4.8452422620748337e-06,1.69127338034743153e-59,-5.13720570140683111e-59,0.32859918496578411,1,-1,76,23
18,Nfull76_Nproj23,13861,13862,3.30259902995149734e-01,3.30264748237411865e-01,4.8452422621303448e-06,-8.32064363299538978e-62,2.54580842962499389e-62,0.33026361308690244,-1,1,76,23
19,Nfull88_Nproj26,14299,14300,3.32382119105955276e-01,3.32386964348217406e-01,4.8452422621303448e-06,1.46556223055531765e-53,-1.69904217924698358e-53,0.33238436298959373,1,-1,88,26
20,Nfull88_Nproj26,14701,14702,3.34329906495324791e-01,3.34334751737586866e-01,4.8452422620748337e-06,-3.78867518370553416e-71,4.33380006413326206e-71,0.3343321665267262,-1,1,88,26
21,Nfull88_Nproj26,15139,15140,3.36452122606130333e-01,3.36456967848392408e-01,4.8452422620748337e-06,3.59729167673180089e-71,-4.95427130742145617e-71,0.33645416080074964,1,-1,88,26
22,Nfull112_Nproj30,15501,15502,3.38206100305015245e-01,3.38210945547277375e-01,4.8452422621303448e-06,3.56134732988769155e-52,-1.02151175745667118e-52,0.33820986555074156,1,-1,112,30
23,Nfull112_Nproj30,15532,15533,3.38356302815140730e-01,3.38361148057402861e-01,4.8452422621303448e-06,-6.69080440748094097e-58,5.42327191488048329e-59,0.33836078476985693,-1,1,112,30
24,Nfull112_Nproj30,15578,15579,3.38579183959197949e-01,3.38584029201460079e-01,4.8452422621303448e-06,2.44391695980235267e-57,-9.31140349999475219e-58,0.33858269245361799,1,-1,112,30
25,Nfull112_Nproj30,16325,16326,3.42198579928996438e-01,3.42203425171258568e-01,4.8452422621303448e-06,-8.02130603182073832e-75,7.79549078382629252e-76,0.3422029959965826,-1,1,112,30
26,Nfull112_Nproj30,16403,16404,3.42576508825441273e-01,3.42581354067703403e-01,4.8452422621303448e-06,1.80769399117435814e-75,-1.13943240946315526e-74,0.34257717226305107,1,-1,112,30
27,Nfull136_Nproj34,16530,16531,3.43191854592729606e-01,3.43196699834991736e-01,4.8452422621303448e-06,7.09718110089108145e-62,-4.29486777128543489e-61,0.34319254171375474,1,-1,136,34
28,Nfull136_Nproj34,16676,16677,3.43899259962998138e-01,3.43904105205260269e-01,4.8452422621303448e-06,-4.70042387736149124e-75,1.50312495484170802e-75,0.34390293119909809,-1,1,136,34
29,Nfull160_Nproj40,17961,17962,3.50125396269813483e-01,3.50130241512075613e-01,4.8452422621303448e-06,6.60877708460332200e-92,-3.95023232086113692e-92,0.35012842885789081,1,-1,160,40
30,Nfull160_Nproj40,18254,18255,3.51545052252612622e-01,3.51549897494874752e-01,4.8452422621303448e-06,-2.10924593709136848e-88,8.93655135870249265e-90,0.35154970055349927,-1,1,160,40
