row_index,Ecm,Nproj,det_grid_real,det_grid_imag,local_det_real,local_det_imag,gpu_det_real,gpu_det_imag,abs_cpu_assembled_diff,abs_gpu_assembled_diff,sign_grid,sign_local,sign_gpu
1454,2.70144982249112431e-01,14,-7.02587688209671545e-27,0.00000000000000000e+00,-7.02587688209671545e-27,0.00000000000000000e+00,-7.02587688209673984e-27,0.00000000000000000e+00,0.00000000000000000e+00,2.43938036669664156e-41,-1,-1,-1
1455,2.70149827491374561e-01,14,-5.79226936516092254e-27,0.00000000000000000e+00,-5.79226936516092254e-27,0.00000000000000000e+00,-5.79226936516090963e-27,0.00000000000000000e+00,0.00000000000000000e+00,1.29143666472175141e-41,-1,-1,-1
1456,2.70154672733636692e-01,14,-4.91065270690398630e-27,0.00000000000000000e+00,-4.91065270690398630e-27,0.00000000000000000e+00,-4.91065270690399778e-27,0.00000000000000000e+00,0.00000000000000000e+00,1.14794370197489014e-41,-1,-1,-1
1457,2.70159517975898822e-01,14,-4.24943344023718109e-27,0.00000000000000000e+00,-4.24943344023718109e-27,0.00000000000000000e+00,-4.24943344023725571e-27,0.00000000000000000e+00,0.00000000000000000e+00,7.46163406283678594e-41,-1,-1,-1
1458,2.70164363218160897e-01,14,-3.73534122024762831e-27,0.00000000000000000e+00,-3.73534122024762831e-27,0.00000000000000000e+00,-3.73534122024771082e-27,0.00000000000000000e+00,0.00000000000000000e+00,8.25084535794452291e-41,-1,-1,-1
1459,2.70169208460423027e-01,14,-3.32434043702098228e-27,0.00000000000000000e+00,-3.32434043702098228e-27,0.00000000000000000e+00,-3.32434043702105188e-27,0.00000000000000000e+00,0.00000000000000000e+00,6.95940869322277150e-41,-1,-1,-1
2106,2.73304080204010202e-01,14,-7.09790326235406899e-29,0.00000000000000000e+00,-7.09790326235406899e-29,0.00000000000000000e+00,-7.09790326235397370e-29,0.00000000000000000e+00,0.00000000000000000e+00,9.52882955740875608e-43,-1,-1,-1
2107,2.73308925446272333e-01,14,-7.95973140517669652e-29,0.00000000000000000e+00,-7.95973140517669652e-29,0.00000000000000000e+00,-7.95973140517679069e-29,0.00000000000000000e+00,0.00000000000000000e+00,9.41672568026277072e-43,-1,-1,-1
2108,2.73313770688534408e-01,14,-9.05460458541305725e-29,0.00000000000000000e+00,-9.05460458541305725e-29,0.00000000000000000e+00,-9.05460458541310321e-29,0.00000000000000000e+00,0.00000000000000000e+00,4.59625896298539999e-43,-1,-1,-1
2109,2.73318615930796538e-01,14,-1.04914438304270987e-28,0.00000000000000000e+00,-1.04914438304270987e-28,0.00000000000000000e+00,-1.04914438304271166e-28,0.00000000000000000e+00,0.00000000000000000e+00,1.79366203433576585e-43,-1,-1,-1
2110,2.73323461173058668e-01,14,-1.24595619908291716e-28,0.00000000000000000e+00,-1.24595619908291716e-28,0.00000000000000000e+00,-1.24595619908293442e-28,0.00000000000000000e+00,0.00000000000000000e+00,1.72639970804817463e-42,-1,-1,-1
2111,2.73328306415320743e-01,14,-1.53196141633249182e-28,0.00000000000000000e+00,-1.53196141633249182e-28,0.00000000000000000e+00,-1.53196141633249003e-28,0.00000000000000000e+00,0.00000000000000000e+00,1.79366203433576585e-43,-1,-1,-1
2112,2.73333151657582873e-01,14,-1.98541316344550675e-28,0.00000000000000000e+00,-1.98541316344550675e-28,0.00000000000000000e+00,-1.98541316344548814e-28,0.00000000000000000e+00,0.00000000000000000e+00,1.86092436062335707e-42,-1,-1,-1
