bracket_id,segment_id,row_left,row_right,E_left,E_right,gap,det_left,det_right,E_zero_linear,sign_left,sign_right,Nfull,Nproj
21,Nfull104_Nproj28,14675,14676,3.34203930196509846e-01,3.34208775438771921e-01,4.8452422620748337e-06,-3.74819377330577967e-62,1.52299449500225435e-62,0.33420737551205398,-1,1,104,28
22,Nfull104_Nproj28,15727,15728,3.39301125056252817e-01,3.39305970298514947e-01,4.8452422621303448e-06,1.50938544876127616e-65,-1.12022550558842258e-65,0.33930390620460255,1,-1,104,28
23,Nfull104_Nproj28,15876,15877,3.40023066153307685e-01,3.40027911395569760e-01,4.8452422620748337e-06,-1.03518076462141075e-65,3.47858964420227760e-65,0.34002417735328805,-1,1,104,28
24,Nfull104_Nproj28,15958,15959,3.40420376018800930e-01,3.40425221261063060e-01,4.8452422621303448e-06,1.18565658536392525e-65,-5.01139316491951011e-66,0.34042378176183685,1,-1,104,28
25,Nfull104_Nproj28,16236,16237,3.41767353367668392e-01,3.41772198609930467e-01,4.8452422620748337e-06,-1.74610433069866989e-67,4.71912344698030479e-68,0.34177116772064009,-1,1,104,28
26,Nfull121_Nproj32,17271,17272,3.46782179108955424e-01,3.46787024351217554e-01,4.8452422621303448e-06,4.45764610691461295e-70,-1.59766264481648816e-69,0.34678323607710776,1,-1,121,32
27,Nfull121_Nproj32,17517,17518,3.47974108705435270e-01,3.47978953947697400e-01,4.8452422621303448e-06,-6.21834929040708370e-76,5.27894078260368032e-75,0.34797461930624868,-1,1,121,32
28,Nfull121_Nproj32,17810,17811,3.49393764688234409e-01,3.49398609930496540e-01,4.8452422621303448e-06,2.14125627819769622e-72,-3.12829802932051571e-72,0.34939573352749626,1,-1,121,32
29,Nfull121_Nproj32,18118,18119,3.50886099304965227e-01,3.50890944547227357e-01,4.8452422621303448e-06,-8.83984256098621385e-74,4.90029878177164832e-73,0.35088683978011981,-1,1,121,32
30,Nfull137_Nproj35,18475,18476,3.52615850792539598e-01,3.52620696034801728e-01,4.8452422621303448e-06,4.44961913596931054e-71,-1.41713657354644407e-71,0.35261952564858534,1,-1,137,35
31,Nfull137_Nproj35,18640,18641,3.53415315765788274e-01,3.53420161008050404e-01,4.8452422621303448e-06,-5.17546922774787130e-76,9.53969707889448638e-76,0.3534170198853141,-1,1,137,35
32,Nfull137_Nproj35,18649,18650,3.53458922946147280e-01,3.53463768188409411e-01,4.8452422621303448e-06,2.71750347817364488e-78,-2.92832484063775152e-79,0.35346329686416345,1,-1,137,35
33,Nfull137_Nproj35,18896,18897,3.54655697784889257e-01,3.54660543027151332e-01,4.8452422620748337e-06,-1.06592570709190567e-77,1.72495787215896873e-76,0.35465597976829322,-1,1,137,35
34,Nfull137_Nproj35,18984,18985,3.55082079103955173e-01,3.55086924346217303e-01,4.8452422621303448e-06,2.65186450069184990e-78,-7.59167657670255371e-78,0.35508333344811754,1,-1,137,35
35,Nfull137_Nproj35,19120,19121,3.55741032051602568e-01,3.55745877293864698e-01,4.8452422621303448e-06,-4.81172688978777298e-80,5.75614734282709019e-78,0.35574107221859019,-1,1,137,35
